ability_id,ability_name,formula_hex,native_mode,native_statuses,authority_class,state,owner,next_gate
297,Sleep Touch,0x50,AllOrNothing,Sleep,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
299,Oily Touch,0x50,AllOrNothing,Oil,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
301,Bewitching Gaze,0x50,Random,Petrify|Darkness|Silence|DontMove|DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
304,Doom,0x3D,AllOrNothing,DeathSentence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x3D post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
306,Beak,0x50,AllOrNothing,Petrify,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
311,Snort,0x29,AllOrNothing,Charm,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x29 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
312,Squeal,0x35,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
313,Toot,0x38,Random,Confusion|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
314,Bequeath Bacon,0x57,AllOrNothing,Crystal,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
316,Guardian Nymph,0x51,AllOrNothing,Protect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x51 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
317,Shell Nymph,0x51,AllOrNothing,Shell,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x51 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
326,Lick,0x38,AllOrNothing,Reflect,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
327,Goo,0x38,AllOrNothing,DontMove,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
328,Bad Breath,0x38,Separate,Petrify|Darkness|Confusion|Silence|Oil|Frog|Poison|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
331,Heave,0x31,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
344,Dark Whisper,0x5E,Separate,Dead|Sleep,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
346,Poisonous Frog,0x38,AllOrNothing,Frog|Poison,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
350,Grand Cross,0x38,Separate,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Slow|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
352,Compress,0x42,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
356,Parasite,0x38,Separate,Petrify|Darkness|Confusion|Silence|Oil|Frog|Poison|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
357,Unholy Sacrifice,0x69,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
360,Plunder Heart,0x29,AllOrNothing,Charm,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x29 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
